time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
1886400.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1900799.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1900799.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1915200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1915200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1929600.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1929600.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1943999.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1943999.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1958400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1958400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1972800.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1972800.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1987199.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1987199.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2001600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2001600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2016000.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2016000.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
